Total number of Nodes,MinP,MaxP,VarP,SumMinP,SumMaxP,MinM,MaxM,SumM,VarM,VarX×VarY,mean_distance,median_distance,std_distance,min_distance,max_distance,sum_distance,density,percentile_25,percentile_50,percentile_75,Total Time Window,Average Time Window,Max Time Window,Min Time Window,Standard Deviation of Time Window,Mean Latitude,Mean Longitude,Standard Deviation of Latitude,Standard Deviation of Longitude,Min Latitude,Max Latitude,Min Longitude,Max Longitude,Average Distance from Center,Max Distance from Center,Min Distance from Center,Standard Deviation of Distance from Center,AvgDepotDist,MaxDepotDist,MinDepotDist,StdDevDepotDist,tour_length
67,0,1971,67828.98899947056,3989.0,105136,1478.8668715880403,2037.3962312189235,115745.06502192563,21820.8093272914,3.655602804630952e-07,359.09601247493873,348.0,260.4399911677747,0,1971,1611982,24059.432835820895,204.0,348.0,444.0,4872546,72724.5671641791,86399,3600,28073.578702064537,47.421961194029855,7.518634626865672,0.01887929281201376,0.03202534217270248,47.37924,47.52725,7.46305,7.6854,0.029021735424577342,0.19722175929458413,0.008664350299769684,0.023233362031920023,0.20104076818601893,0.24185335432861077,0.16279031451533105,0.021710872675393077,-1
70,0,1018,63261.548040149944,2741.0,59539,1079.0416978570777,2019.7012508926025,123995.56089318715,31722.86709875872,8.265856703919692e-08,338.2991836734694,227.0,251.5184844900071,0,1018,1657666,23680.942857142858,138.0,227.0,599.25,5486340,78376.28571428571,86399,7200,20272.50097133191,47.471359285714286,7.61121242857143,0.011774806315838507,0.02441687972552207,47.44806,47.52725,7.57831,7.6854,0.02246173578307637,0.0928847010967722,0.005279657522134837,0.015175655007853448,0.09626841370785293,0.11895575732178876,0.05393303718501444,0.015181476332132389,-1
139,-2,926,44615.73416636146,4595.0,103185,1132.9102684056636,2848.97097414326,324222.14374879876,152232.933436844,2.1660625682766514e-07,385.85554577920396,459.0,211.2243692530799,-2,926,7455115,53633.92086330935,167.0,459.0,564.0,10842180,78001.29496402877,86399,9000,21611.366894356604,47.516167553956834,7.602726906474819,0.02645290621565577,0.017593899484287023,47.48343,47.55787,7.5716,7.6854,0.029419623805817228,0.08341259499214101,0.004363455301904379,0.011991133451082386,0.08812811056089549,0.1195469129672524,0.0506936337225874,0.016066433682849362,43910
73,0,1363,39461.27823909939,2821.0,66024,1079.1433055774394,1691.0671997211118,100240.84029842465,28579.52829156017,2.1801049251133507e-07,305.95402514543065,315.0,198.64863009620626,0,1363,1630429,22334.64383561644,135.0,315.0,418.0,5803135,79495.0,86399,15300,18804.69558090242,47.5517806849315,7.857092602739726,0.01502990893334257,0.03106578618525438,47.51847,47.57462,7.6854,7.90953,0.026453255045915988,0.17343616790839814,0.0011880271938130857,0.022163179630374178,0.17657376070088354,0.22783301999490768,0.14674886575370905,0.02295894678557172,-1
309,0,1021,40944.73093965386,9130.0,254670,1645.2265363733516,4166.0816075978455,1051504.1865009996,228712.55086217556,3.6853019021887753e-07,432.54837088007037,461.0,202.3480440717277,0,1021,41300151,133657.44660194175,255.0,461.0,599.0,24154831,78170.97411003236,86399,3600,21803.667808176157,47.511963430420714,7.588924530744336,0.02753009204792989,0.02205102959803003,47.46115,47.55678,7.5406,7.6854,0.03324583339656793,0.09767904267345633,0.0028670178790393204,0.011784245256627062,0.10202090754881019,0.14575869133605684,0.06521369488075326,0.02030027198641193,-1
161,0,991,22264.202170236073,4535.0,107221,954.4279025248645,2206.3191164195314,287760.8348969477,80191.3739983644,3.6306168931509265e-08,282.16970795879786,306.0,149.21193709028802,0,991,7314121,45429.32298136646,144.0,306.0,404.0,11899667,73910.9751552795,86399,3600,27614.930444917718,47.55826086956522,7.594186583850933,0.009736788493930231,0.019569263264809938,47.52725,47.58526,7.5241,7.6854,0.019237839011560513,0.09634086005830356,0.004599020622598834,0.010376254867159552,0.09705250029367447,0.17141426457561648,0.06521369488075326,0.02002823965357705,-1
26,0,1470,141139.869373884,1933.0,32744,1278.7786992042295,2190.0714863639987,46218.32329318645,93594.97776109262,9.994660409982306e-07,631.258875739645,592.0,375.68586528359566,0,1470,426731,16412.73076923077,453.0,592.0,971.25,2080777,80029.88461538461,86399,18000,17945.818457291687,47.43945461538461,7.642675384615384,0.024819611853217908,0.0402799604910402,47.3974,47.52725,7.57653,7.69412,0.0442261319990119,0.09763924579556944,0.014141135178690478,0.01680885475307968,0.10813882396993627,0.149895870523509,0.07878713664044423,0.0234260932807735,27796
41,0,4152,560553.4248416622,5677.0,154319,3208.1392296895674,3892.388732999375,145300.9258387824,23014.290536981873,4.884516780758519e-06,516.3991671624034,372.0,748.7011585683985,0,4152,868067,21172.365853658535,195.0,372.0,515.0,2939368,71691.90243902439,86399,12600,27991.569525096063,47.41966975609756,7.087158536585367,0.022078358622250997,0.10010229157390059,47.38837,47.52725,7.00352,7.6854,0.04462510304120292,0.6078374432581377,0.0024967632229193956,0.0922850089470709,0.6232605469180086,0.6874419155826913,0.5623668996304815,0.03193630822378758,48911
99,0,1260,68007.2362531258,3633.0,87447,1430.277839082217,2652.9312718827323,220362.71444945052,79781.5076492128,2.265393100392608e-07,386.43169064381186,281.0,260.7819707209948,0,1260,3787417,38256.73737373737,174.0,281.0,647.0,7152221,72244.65656565657,86399,3600,28417.182355993176,47.47014383838384,7.737316666666668,0.03080062795198319,0.0154529790531199,47.40523,47.52725,7.6854,7.77415,0.028483432071990562,0.07717806665309226,0.0029090304514633766,0.01939503393276098,0.07927495976664772,0.1396204139801908,0.040956026418590676,0.030533672996377315,-1
93,0,991,16596.720596259078,4166.0,62999,909.6093040539466,1608.0201544770202,101826.33741229071,19695.58621786654,8.070253214698252e-09,276.1120360735345,273.0,128.82826008395472,0,991,2388093,25678.41935483871,190.0,273.0,351.0,5058847,54396.20430107527,86399,2700,37564.095290313686,47.55873548387097,7.595765913978494,0.0062457077762316906,0.014383411983728856,47.52725,47.57242,7.57841,7.6854,0.011451885772469403,0.0950031845334648,0.00022916279282626003,0.010711942782430683,0.09639683722200243,0.11019181911557653,0.06897676855289753,0.008939988066996628,-1
