model,feature_set,mse,r2,adj_r2,rmse,mpe,mape
Random Forest,set1,41041503.15051761,0.7768037073653137,11.93661833909963,6406.364269265182,-10.319890414173699,15.683604993985611
SVR,set1,185266670.74790597,-0.007537026800690905,50.36931431323386,13611.269990265639,-493.27788854200804,505.1247392212904
GNN,set1,3690683392.0,-19.07107162475586,984.4825096130371,60750.99609375,-1660.212516784668,1660.212516784668
Neural Network,set1,97375906.23420656,0.4704399304355489,26.948443408658104,9867.923096285589,-253.4080582792867,269.551330048952
Gradient Boosting Machine,set1,47491060.543932565,0.7417290344405552,13.655277312412798,6891.375809222173,-12.83512159334538,21.925682961494154
Decision Tree,set1,45636920.5522863,0.7518124168801171,13.16119157287426,6755.510384292685,-13.347832800855624,18.33461747956697
Random Forest,set2,38428760.41178588,0.7910126044116628,11.240382383828525,6199.09351532834,-9.950887428618694,15.096593957089588
SVR,set2,185264611.34503776,-0.007525827135719032,50.36876552965023,13611.194339404525,-493.26872510503443,505.1171575214185
GNN,set2,206658880.0,-0.12387454509735107,56.0698527097702,14375.634765625,-373.6379623413086,416.4229393005371
Neural Network,set2,81879137.82198454,0.554716114101172,22.81891040904257,9048.709179876683,-162.04309242025445,178.76735707051532
Gradient Boosting Machine,set2,37146295.75169522,0.7979870409111609,10.898634995353115,6094.776103491844,-23.499898970328474,27.512789646459403
Decision Tree,set2,61075988.69097222,0.6678500250142251,17.27534877430297,7815.112839298753,-8.628640944966211,14.531499957259136
Random Forest,set3,42119345.785393804,0.7709420682517147,12.223838655665977,6489.941893838019,-10.435780539156323,15.912051428161341
SVR,set3,185266403.87476975,-0.007535575462654043,50.369243197670045,13611.260186873578,-493.2770326000584,505.12401199901245
GNN,set3,242021792.0,-0.3161888122558594,65.49325180053711,15557.0498046875,-316.28918647766113,374.7196912765503
Neural Network,set3,100674649.95231266,0.45250034948177587,27.82748287539298,10033.67579465834,-280.66347506498533,295.75385208105314
Gradient Boosting Machine,set3,47855454.70796738,0.7397473471185289,13.752379991192086,6917.76370715041,-14.043850302734937,19.363146520587346
Decision Tree,set3,47508275.07897847,0.741635416514633,13.65986459078298,6892.624687227535,-9.017745014982467,15.321897719900065
Random Forest,set4,41678987.76811486,0.7733368703262918,12.1064933540117,6455.926561549075,-10.50538125726864,15.916695301247294
SVR,set4,185266398.63807714,-0.0075355469839122335,50.3692418022117,13611.259994507383,-493.2770553907165,505.1240390963084
GNN,set4,1771521664.0,-8.634078979492188,473.0698699951172,42089.44921875,-1270.705795288086,1270.705795288086
Neural Network,set4,97150423.14230761,0.4716661767057959,26.888357341416,9856.491421510374,-277.7802079836903,292.04740257550156
Gradient Boosting Machine,set4,40061507.0089423,0.7821332272124235,11.675471866591248,6329.416008522611,-15.568226037031579,21.33433500277745
Decision Tree,set4,50438688.92085832,0.7256989264939282,14.440752601797518,7102.0200591703715,-8.920106498653901,15.638095468049976
Random Forest,set5,40706679.28432668,0.7786245823304765,11.847395465806652,6380.178624797795,-10.109734390850514,15.428657924524478
SVR,set5,185264605.13688675,-0.0075257933738881455,50.36876387532052,13611.19411135139,-493.26871304355285,505.11713898872455
GNN,set5,213135280.0,-0.1590951681137085,57.795663237571716,14599.1533203125,-578.3407688140869,587.0781898498535
Neural Network,set5,79112530.07224312,0.5697617763093041,22.0816729608441,8894.522475784921,-150.17844056244513,167.59466844819946
Gradient Boosting Machine,set5,35665967.92607402,0.8060375180428313,10.504161615901266,5972.099122257937,-16.245520823857962,20.87968465512977
Decision Tree,set5,45353315.87729505,0.753354746160791,13.08561743812124,6734.487053762525,-9.232642502628895,15.039398342812586
Random Forest,set6,43259886.78131971,0.7647394562042239,12.52776664599303,6577.224854094598,-10.173984229724056,15.719231920716881
SVR,set6,185266408.51965037,-0.007535600722940794,50.3692444354241,13611.260357499976,-493.27708928439,505.1240622767684
GNN,set6,6369645568.0,-33.64009094238281,1698.3644561767578,79810.0625,-2050.8914947509766,2050.8914947509766
Neural Network,set6,93659673.08424859,0.49064994707638154,25.958152593257303,9677.792779567488,-257.01712438467246,270.99831654189074
Gradient Boosting Machine,set6,41335885.15256971,0.7752027676717689,12.015064384083326,6429.298962761781,-22.709050243947164,27.853137424542503
Decision Tree,set6,42454030.26855194,0.7691219512942706,12.31302438658074,6515.675733840039,-2.512611375582889,10.094731422719851
Random Forest,set7,40479048.6123633,0.779862507800356,11.786737117782554,6362.314721260125,-10.10017373916961,15.627045008123094
SVR,set7,185266398.9635927,-0.007535548754165955,50.36924188895413,13611.260006464967,-493.2770553632408,505.1240387186053
GNN,set7,4584606720.0,-23.9325008392334,1222.6925411224365,67709.7265625,864.168643951416,864.168643951416
Neural Network,set7,84462895.07999043,0.5406648489966773,23.50742239916281,9190.36969223711,-216.97849820431568,233.1910498053863
Gradient Boosting Machine,set7,36561579.973596856,0.8011669048025476,10.742821664675168,6046.617233924838,-24.26541590362069,28.60331190532332
Decision Tree,set7,50860683.862176746,0.7234039884633343,14.55320456529662,7131.667677491482,-10.073515625848117,16.44118555439787
Random Forest,set8,44754593.209917486,0.75661078381577,12.926071593027272,6689.887383948812,-11.068818029881447,16.679081079276042
SVR,set8,185266659.80541068,-0.007536967292042451,50.36931139731008,13611.269588301111,-493.27793005607464,505.1247900454211
GNN,set8,209508064.0,-0.13936924934387207,56.82909321784973,14474.3935546875,-571.3760375976562,580.3112506866455
Neural Network,set8,100227952.7483301,0.4549296259995861,27.70844832602028,10011.391149502157,-245.49234806010952,260.20675373909893
Gradient Boosting Machine,set8,43251058.539133504,0.7647874668952362,12.525414122133425,6576.55369773056,-20.25619303715043,25.41280761101351
Decision Tree,set8,54315673.37658334,0.7046146949065377,15.473879949579652,7369.9167822020445,-10.135852251365119,16.04195411903902
Random Forest,set9,44126751.50814775,0.7600251797184379,12.758766193796545,6642.796964242378,-9.604745884964176,15.585126160084336
SVR,set9,185266658.06110755,-0.007536957805986733,50.36931093249335,13611.269524225414,-493.27793280823886,505.1247942025908
GNN,set9,590873856.0,-2.2133538722991943,158.45433974266052,24307.896484375,-875.206184387207,877.586555480957
Neural Network,set9,109510084.39762372,0.4044505447565958,30.181923306926805,10464.706608291688,-257.99063747006744,275.1944735542612
Gradient Boosting Machine,set9,47204812.53143616,0.7432857390020069,13.578998788901663,6870.575851516099,-20.285609627706886,26.27016650146222
Decision Tree,set9,82088505.49861111,0.5535775084061221,22.87470208810002,9060.270718836779,-3.7874043959865573,14.68730126402282
Random Forest,set10,40310418.884926565,0.7807795680223915,11.74180116690282,6349.048659832949,-9.98929685511211,15.421711426506397
SVR,set10,184549961.42320442,-0.0036393414848430172,50.17832773275731,13584.916688121588,-491.85130032287327,503.72388101675097
GNN,set10,187634400.0,-0.020413517951965332,51.0002623796463,13697.970703125,-508.54783058166504,519.6689128875732
Neural Network,set10,90219674.51648003,0.5093577152635924,25.04147195208397,9498.403787820353,-235.49313701721422,253.10309927950533
Gradient Boosting Machine,set10,39496143.824409835,0.785207845759337,11.524815557792486,6284.595756642573,-27.85878515829522,32.65052440258608
Decision Tree,set10,53996209.49333345,0.7063520375694162,15.388750159098604,7348.2113125122805,-8.96728746315187,15.524621187340774
Random Forest,set11,38601508.83104732,0.7900731454791707,11.286415871520633,6213.01125309196,-10.789231804260478,15.8181307152781
SVR,set11,184513794.1888525,-0.003442652962188486,50.16868999514723,13583.58546882422,-491.780735447776,503.65435591677914
GNN,set11,186967488.0,-0.016786694526672363,50.822548031806946,13673.60546875,-504.9184799194336,516.1879539489746
